archive  size       crc          hash        
0        243        3156184425   65231391    
0        214        651737628    -850839796  
0        136        2789916376   950326900   
0        99         3806665641   219546895   
0        99         267218259    -272930468  
0        806        1436453130   969799506   
0        119        2861772328   1352347486  
0        116        3496405894   -1887662247 
0        58         4141367636   729229668   
0        61         89179924     1195587424  
0        991        1273901612   1543120214  
0        415        2520123676   680344661   
0        307        3076650352   -725302146  
0        193        1367148517   943609447   
0        1303       1023873572   -31448416   
0        113        994519578    -1990908735 
0        388        3100615059   1011427437  
0        140        2409371854   -2092670946 
0        109        2250894179   -482138239  
0        107        2588294006   2062469030  
0        134        129852436    -1380073853 
0        136        221620942    -1484836237 
0        136        880928938    958976987   
0        133        762654493    -1731291115 
0        133        1417841532   -1705897288 
0        135        3901348764   -1241664873 
0        135        1412741432   -2012763039 
0        136        3246143635   643824042   
0        133        3843468893   1234649830  
0        56         3477622829   1761857647  
0        58         2182379287   -1542936583 
0        346        1101955036   192108143   
0        150        1195953576   -2029538784 
0        169        3909882306   -961723416  
0        97         2286004542   1378472034  
0        3777       1441494361   548994157   
0        867        2988525759   -310099434  
0        235        774817636    2005659323  
0        366        671876622    -1379377592 
0        378        1692637065   -1091824082 
0        95         168011339    -476178505  
0        103        698848141    -1219866739 
0        73         857224466    -612285724  
0        86         2540853553   1252874438  
0        58         2709824338   -1045576875 
0        76         910582084    -999453477  
0        179        683872142    1264589406  
0        230        790442842    564156760   
0        52         1549915529   220389178   
0        136        287933018    1015994807  
0        347        29993939     2021887367  
0        69         2778107889   -118653404  
0        58         1975941032   1260864494  
0        428        1090779581   -1344409036 
0        95         952868976    695274402   
0        166        2791932134   1506499333  
0        841        3507953398   1554969583  
0        297        610305341    -60510520   
0        5355       783917100    -646590286  
0        674        2768563603   934635940   
0        1100       4284178766   -8988755    
0        96         990776526    1929380436  
0        606        2028368687   358651252   
0        1022       2556222511   589251154   
0        1611       1641075913   -465371289  
0        350        2715871621   -1691952827 
0        765        3334448351   809762703   
0        178        1587552487   1758282816  
0        922        967276578    -980930008  
